permno,n_rows,n_fdates
49015,33086,40
45911,33122,40
84373,33218,40
48486,33274,40
87657,33622,40
82686,33648,40
75828,33766,40
82642,33836,40
45751,33937,40
48653,33942,40
43350,33971,40
25419,33983,40
52695,34126,40
84381,34165,40
90505,34357,40
10909,34367,40
78987,34452,40
46674,34755,40
41355,34942,40
88853,35080,40
79678,35088,40
82775,35212,40
23712,35290,40
37584,35346,40
90880,35434,40
25953,35614,40
88661,35654,40
75241,35726,40
30681,35978,40
88352,36144,40
60599,36215,40
36468,36343,40
81540,36497,40
12062,36651,40
91461,36734,40
89179,36934,40
22517,36990,40
66384,37032,40
10696,37154,40
76226,37238,40
17778,37362,40
28484,37491,40
58683,37642,40
16600,37701,40
64186,37916,40
89626,38140,40
11404,38577,40
26825,39026,40
21371,39416,40
34817,39699,40
21573,39989,40
89393,40216,40
22509,40221,40
10138,40310,40
21207,40418,40
24766,40710,40
91926,40927,40
46578,41409,40
24109,41857,40
89258,41911,40
70578,41949,40
81055,42924,40
75186,43069,40
38156,43086,40
15069,43285,40
79323,43373,40
89070,43842,40
11955,43925,40
86783,44432,40
86158,45120,40
28222,45396,40
87267,45522,40
84032,45814,40
81061,46304,40
21776,46451,40
41080,46583,40
57904,46748,40
75825,46790,40
76841,46820,40
12052,47664,40
85269,47701,40
59459,48136,40
64936,48454,40
62148,48646,40
24942,48966,40
73139,49666,40
87137,49768,40
56573,50441,40
87842,50587,40
22293,50593,40
39490,50873,40
49680,50960,40
52038,51008,40
39642,51890,40
18411,52091,40
27959,52483,40
64311,52636,40
62092,52704,40
15579,52780,40
81774,53699,40
23819,54806,40
27887,55115,40
44644,56698,40
34833,57994,40
91233,58663,40
89006,58818,40
50876,59320,40
87447,59626,40
17750,59820,40
18729,61194,40
10145,61394,40
92655,62225,40
89525,62922,40
22103,63070,40
18542,64239,40
48725,65433,40
13901,65514,40
59176,65562,40
90319,65810,40
17830,65998,40
70519,66279,40
14008,67339,40
77274,67586,40
84788,68634,40
17005,70085,40
19393,71051,40
13928,72705,40
22592,74110,40
83443,74333,40
77178,76531,40
20482,76880,40
26403,78408,40
11308,78925,40
22752,79407,40
65875,81746,40
66093,82770,40
13856,82777,40
12490,83901,40
12060,84041,40
14541,84690,40
59328,86266,40
18163,87032,40
21936,88068,40
11850,92010,40
22111,93387,40
14593,99290,40
10107,100762,40
